 	Area	Mean	Min	Max
2066	344064	657.002	500	4095
2067	344064	656.416	501	4095
2068	344064	656.051	496	4095
2069	344064	446.502	352	1601
2070	344064	446.717	359	1386
2071	344064	446.964	353	1266
2072	344064	447.000	357	1195
2073	344064	447.742	350	1259
2074	344064	368.662	302	899
2075	344064	368.178	304	915
2076	344064	367.759	303	875
2077	344064	367.250	301	885
2078	344064	367.105	300	922
2079	344064	334.188	285	2078
2080	344064	334.148	284	2041
2081	344064	333.673	285	2102
2082	344064	333.994	282	1892
2083	344064	334.054	283	2003
2084	344064	333.641	283	2048
2085	344064	333.080	284	2004
2086	344064	332.618	283	2029
2087	344064	332.376	283	1956
2088	344064	332.402	279	2020
2089	344064	332.719	282	1883
2090	344064	332.558	282	1764
2091	344064	331.820	279	1767
2092	344064	331.775	282	1727
2093	344064	331.503	277	1791
2094	344064	331.117	276	1832
2095	344064	330.769	278	1812
2096	344064	330.483	283	1660
2097	344064	330.567	281	1798
2098	344064	330.044	283	1704
2099	344064	329.906	282	1736
2100	344064	329.904	281	1674
2101	344064	329.908	279	1584
2102	344064	329.810	280	1250
2103	344064	329.442	277	1214
2104	344064	329.324	280	1088
2105	344064	329.277	274	908
2106	344064	329.073	280	907
2107	344064	329.206	281	948
2108	344064	329.152	281	1002
2109	344064	329.016	278	1018
2110	344064	329.926	276	960
2111	344064	328.622	279	966
2112	344064	328.556	276	1015
2113	344064	328.926	281	1007
2114	344064	328.803	276	1036
2115	344064	328.264	276	964
2116	344064	328.829	276	893
2117	344064	328.513	278	943
2118	344064	328.358	281	911
2119	344064	328.620	276	988
2120	344064	328.152	279	831
2121	344064	328.560	277	903
2122	344064	328.266	280	936
2123	344064	328.282	273	913
2124	344064	329.205	282	979
2125	344064	328.363	276	982
2126	344064	328.489	278	966
2127	344064	328.066	279	866
2128	344064	328.203	280	920
2129	344064	328.459	278	876
2130	344064	328.451	280	929
2131	344064	328.416	278	917
2132	344064	328.122	275	1007
2133	344064	327.951	276	808
2134	344064	328.065	276	984
2135	344064	328.189	279	933
2136	344064	328.075	279	1028
2137	344064	328.297	278	964
2138	344064	327.937	277	991
2139	344064	328.009	279	974
2140	344064	327.712	278	1006
2141	344064	327.727	279	906
2142	344064	327.758	280	880
2143	344064	328.389	280	1008
2144	344064	328.197	279	967
2145	344064	327.961	277	1019
2146	344064	327.761	280	877
2147	344064	327.613	277	912
2148	344064	327.690	280	976
